TransMorphBSplineDWinFull_ncc_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,NDV,all_jac
p_0,0.97497266907523,0.7978063614739351,0.6687383720833032,0.8565113903194018,0.27073402983094347,0.7872190459218369,0.8483283401750853,0.8428534095412316,0.8031680833042416,0.8582870657519914,0.8036380578273367,0.8261692326948655,0.707714420920665,0.8947079352807774,0.8129276190016856,0.7616264895017617,0.6803278663177054,0.6869037234440267,0.822554182866286,0.28571424036281895,0.22755555353283952,0.7988483329785526,0.6673360642285884,0.8136363630760081,0.420153711185707,0.7203757223574587,0.854049121017039,0.8822829959332524,0.8018433167406401,0.8205857256936919,0.77383804318678,0.8096298827881855,0.802030455082696,0.6605633756298354,0.8442900557149022,0.42424235996327875,0.2813067125108284,0.0,0.0016556291253673086,0.0,0.44856660289095107,0.0,0.0,0.0,0.0,0.0,1.6795386748189948e-07,3.0010023347798164e-05
p_1,0.9712705961337874,0.7815027676204672,0.6486139929174174,0.8132215900995009,0.12789415515000932,0.7758304864657085,0.836756008427212,0.860782714604167,0.7969387744937005,0.8224079999824924,0.7173745159896245,0.6388888860264834,0.8165271190088695,0.9040167013103938,0.7773365609904731,0.7566216872648134,0.5862237391977345,0.5689242982555833,0.824369104576116,0.0,0.2671081648222057,0.7946387132037449,0.6640972469805687,0.7522589763870048,0.08411214855009172,0.8053344047001696,0.8711620112590769,0.889526392191985,0.7701388879975245,0.8165615135516077,0.7176876918420512,0.7727481399570764,0.7650429781159432,0.5889175219786242,0.7878019929145109,0.0465116170903216,0.27171491902321915,0.0,0.0,0.0,0.31318680458278014,0.0,0.0,0.0,0.0,0.0,1.7467064880350252e-05,0.0004951653852386697
p_2,0.9742535128838058,0.805776944814793,0.6774921750563999,0.8666040390480958,0.47999999553488376,0.8198799761023637,0.8701299577471643,0.869382863469513,0.8422849627809784,0.8199249256163894,0.7774589074420586,0.802030453460108,0.8291827414430327,0.9117867303969247,0.8343676430190802,0.8091106268733442,0.6932377935815593,0.6333045674434463,0.852796585796497,0.6027396434603228,0.37766497078512723,0.790184756177014,0.6605404387976928,0.8369747893749355,0.5263963234399669,0.8310665092356826,0.8910598569464814,0.8910745916726284,0.8118601239039223,0.7966414081541661,0.7505219187094939,0.8237814667126069,0.8090112620550406,0.650666660882963,0.8452392268189487,0.17142852244899356,0.3275529833569077,0.0,0.0,0.0,0.4498886314055984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9709062895555471,0.7909508345714548,0.6427085818403898,0.8262510780703995,0.3467600670161115,0.7371013853668129,0.7565595359204538,0.8502916392037743,0.8125090897272595,0.8279069760310879,0.7806080509847821,0.7941576059981059,0.7085506901597852,0.8979627040490671,0.8017940635539708,0.7844919765120535,0.7033492794922277,0.623824446521752,0.8537739758749697,0.18749997070312957,0.28864353084665983,0.7907701203656193,0.6525455926953289,0.8764608351019205,0.27405857453913623,0.7843146955011591,0.8364093791665452,0.8685235448669164,0.8106338386450579,0.7748803426515264,0.7525409650434745,0.7931375183749776,0.7491075962541877,0.536715617244889,0.8463186758838445,0.0,0.4073436580186824,0.0,0.005899704956738398,0.0,0.07643311858493254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9751942398282487,0.8073497076798382,0.6792242874706822,0.888559513417937,0.4681769097284044,0.7891409220659991,0.8647377314298212,0.8145364809519733,0.8350482647342227,0.8350748133118158,0.792708773224441,0.777454542627438,0.825531913429908,0.9119566775010836,0.8307367918112489,0.7949194523081801,0.6950794238857829,0.627591132040092,0.8096555664443702,0.23333329444445092,0.38705415860598313,0.8109592579359199,0.6910030046248473,0.8738494853567104,0.5788197204622496,0.8213787665005218,0.8654915149342043,0.8592964819322745,0.8471419387206788,0.8361896469454636,0.812155911006043,0.8357840608372401,0.8061661410043787,0.6282578832081078,0.8315452655453178,0.23809518140590918,0.5275880161450971,0.0,0.0017857142697704084,0.0,0.5818181722013526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9741951701892143,0.8015738971146077,0.6747489436644097,0.9015643800236489,0.281249997253418,0.7634777586467792,0.8349026992431363,0.8690351788755166,0.8352324511904826,0.8451577595794658,0.7666426321397678,0.847315018937602,0.7683535263284544,0.8992146870540845,0.7958892950794777,0.7519647885823175,0.6222750668954614,0.6350789639644309,0.8245631347373253,0.32727266776860586,0.3724226780127405,0.8081745298407732,0.6853908380803277,0.9094183218781139,0.3459119460596232,0.7687059206925682,0.8391059004193184,0.8722201739327804,0.8422296199739775,0.8644204121329695,0.8055207006134988,0.8299507380985707,0.7904352477419794,0.6833855745816177,0.8283303057063024,0.26229503896802636,0.4620573329845007,0.0,0.0,0.0,0.5575539468065838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9741113260553309,0.8035211442510907,0.6584841928681731,0.9093539289176525,0.4750219064415258,0.7295475529248504,0.8279134188318393,0.8103810546820484,0.7775959713309051,0.821467688119618,0.7862809127711599,0.8208301087372257,0.7834405970021907,0.8734750275679578,0.8180803563819937,0.748547277473462,0.6854095943508987,0.6230598600547688,0.8175473571852195,0.33333328703704346,0.393395546350355,0.7971525081488372,0.6549440295357121,0.8948909071747921,0.29650091808010204,0.7403339515793855,0.8530255293897356,0.8538787538518035,0.7756750510319929,0.7766196599462297,0.7334229374251279,0.8126459486144728,0.7810237183994414,0.6508407452933656,0.8010776822621665,0.10909088925620194,0.41589267071262814,0.0,0.001212121204775023,0.0,0.13622290599929085,0.0,0.0,0.0,0.0,0.0,5.827854597541314e-07,0.00010503508171729356
p_7,0.9769744491239107,0.8087421128359431,0.6963452093298694,0.83597586603247,0.405159329247653,0.7947150704467756,0.8700535839352496,0.8843574500385162,0.8405172402471481,0.8369117510849954,0.7649918945010608,0.7971450007620398,0.8162970960585955,0.9075042914846103,0.8019732197704891,0.7656529494166578,0.6897746937184804,0.5924627467794676,0.8351939443375649,0.19047616024187933,0.35714285464185674,0.8141948767496744,0.7014659658740404,0.8813292912386028,0.3336529210579778,0.8219639126111864,0.8807351094567966,0.8989281099394308,0.8505552862740762,0.83635408384874,0.8018757308279585,0.8236133759955002,0.819782493993313,0.6698488411308764,0.8324084342322587,0.26923071745563126,0.4704386492661243,0.0,0.0020703933533085576,0.0,0.4943457109152551,0.0,0.0,0.0,0.0,0.0,0.0,3.0010023347798164e-05
p_8,0.9736563539885552,0.8084293918644111,0.6781642198497437,0.8392918105451438,0.5297473469458244,0.8021140090444588,0.8610612440446961,0.8451534010420446,0.8424112209750901,0.8346004071624324,0.8014201164463429,0.7877937538134206,0.7817859239468048,0.9040705737078895,0.8188674987967269,0.7663667366851792,0.6834208526503344,0.646677466396455,0.8449426200116159,0.41935477107181107,0.3672727239338843,0.8013063158204441,0.6778130307421991,0.7501841087061746,0.531868127971662,0.8277191216055753,0.8805829929356737,0.8887673026816396,0.8199065152324629,0.8316736874457357,0.7946112011472201,0.8203868582331524,0.8253528900488434,0.6776212779528852,0.8350730681355423,0.0930232341806432,0.2951111084879013,0.0,0.0,0.0,0.5145630984698528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9707948880193679,0.8073279970706655,0.645343126529892,0.9014115208181885,0.27027026642574303,0.8046499116024713,0.8656140000238266,0.8662170442267216,0.8417799742376021,0.861345590588094,0.7648425929329336,0.7150635176267535,0.7963565369846963,0.9178450171775836,0.802170072164812,0.811987153721059,0.5666991209021464,0.6534047386885636,0.8145985393531888,0.5319148370303365,0.38549361729017045,0.80338395324581,0.6514010136320466,0.900377503071093,0.4603351903873163,0.831151012368792,0.8488548077281481,0.8759815524891054,0.8316420654616674,0.8311619710993293,0.7776824017646301,0.8107917049825735,0.8056497152382776,0.6581673254329297,0.8093324175969685,0.0,0.46223736250858966,0.0,0.004743082966457843,0.0,0.47476634626604963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
